sweep,di,dj,dk,r_mm,n_rv,n_lv,tau_rv,tau_lv,d_rv_lv,tau_rv_err,tau_lv_err,chi_rv,chi_lv,tail_rv,tail_lv,tail_d
grid3,-2,2,0,4.6244380024904945,2238655,1934006,1.6384118553976428,1.4619836074098196,0.1764282479878232,0.1770405467563992,0.13375241116968303,2.7373337935263007,2.4180926359181023,1.8556097917897503,1.865803816027515,-0.01019402423776472
grid3,-2,2,1,4.908351193475419,2214318,1928917,1.6181207291371427,1.4288231381417817,0.18929759099536092,0.1756961030905375,0.1315984044887764,2.870452621354753,2.367942287540905,1.8085063600084672,2.0858311506167606,-0.2773247906082934
grid3,-2,2,2,5.675505725248761,2187007,1921028,1.608079554475112,1.454885014256544,0.15319454021856815,0.1752485599054732,0.13930409427098409,2.861285013227703,2.2568198201705987,1.8575325032762502,1.7943084461153762,0.06322405716087398
grid3,-2,2,3,6.763415426794213,2157599,1909534,1.5761390645120588,1.5145583604166866,0.061580704095372196,0.16935586761422605,0.14645103866725817,2.893151393387506,2.1852547012551726,2.04381438368679,1.6539555864594848,0.3898587972273053
grid3,-2,3,-3,7.690573188353096,2217092,1915922,1.509971680245406,1.442137151397038,0.06783452884836794,0.1617425382859439,0.13690310854357077,2.723212638867959,2.378243903337828,1.9757322482092337,1.9937654507704752,-0.018033202561241524
grid3,-2,3,-2,6.753702167504058,2202808,1921964,1.512877111163598,1.429566165780693,0.08331094538290484,0.1711335332844584,0.13273668287485563,2.783493668911261,2.3907664773220954,1.916056858662138,1.7989440454720425,0.11711281319009559
grid3,-2,3,-1,6.123155981069659,2185605,1925934,1.602894619918263,1.428041814632458,0.17485280528580494,0.18097240006377377,0.13080990435369813,2.786573626894529,2.4317148113914824,1.8807039928145175,2.0845810239106086,-0.20387703109609112
grid3,-2,3,0,5.898012764389023,2165186,1925971,1.6636060532612378,1.4355675758824724,0.22803847737876537,0.19180628808278463,0.13061014055311593,2.8610820839588422,2.420619920824098,1.9220173763841277,2.0886948261438434,-0.16667744975971566
grid3,-2,3,1,6.123155981069659,2141918,1922016,1.632770113951415,1.4529334113979033,0.1798367025535117,0.18823183864039736,0.13300135565554216,2.9696857090127944,2.2669896287298235,1.9106099734751667,2.088026455858313,-0.17741648238314633
grid3,-2,3,2,6.753702167504058,2115565,1914735,1.628087248053346,1.4319292445993455,0.19615800345400047,0.18235980211836533,0.13353865508772614,2.9230878050087004,2.2321491236653075,2.0464506979775843,1.9882302941033607,0.05822040387422356
grid3,-2,3,3,7.690573188353096,2087451,1905151,1.6036486171754276,1.430037450000009,0.17361116717541858,0.17782819889943455,0.13487676250409175,2.917037521543525,2.171837583128949,2.190635837257683,1.765714630590516,0.42492120666716704
grid3,-1,-3,-3,7.1516796960062,2564313,1944111,1.6385159503113969,1.4459519261694473,0.1925640241419495,0.1636518327833845,0.14191609845103742,2.9045840294980145,2.2286846159025306,1.9404434362154561,1.5371139943277128,0.40332944188774333
grid3,-1,-3,-2,6.133033464461192,2546889,1944575,1.6306507499055571,1.4171394621497422,0.21351128775581496,0.1637249655425983,0.13494711665001394,2.890747536866728,2.2843944586920446,2.058506377388152,1.5718255708278905,0.48668080656026125
grid3,-1,-3,-1,5.430897317880441,2524479,1941397,1.6466877255047254,1.4436732423672816,0.20301448313744386,0.1635721815851781,0.14409500889957919,2.853800917095295,2.3218776392153595,1.9718965212380524,1.6528990232698253,0.3189974979682271
grid3,-1,-3,0,5.175728072237535,2499261,1934679,1.704282700447291,1.467965481779389,0.2363172186679019,0.1688521601193848,0.14826171137208072,2.742202527077236,2.2824367698969623,2.0951884776689735,1.6176742343108101,0.4775142433581634
